epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,154265,0.34027,0.69901,0.87175,1.72036,0.007525,0.007525,0.007525
77,156388,0.34314,0.6991,0.87308,1.72929,0.007492,0.007492,0.007492
78,158445,0.33796,0.69919,0.87334,1.72706,0.007459,0.007459,0.007459
79,160516,0.33309,0.69963,0.8729,1.73356,0.007426,0.007426,0.007426
80,162548,0.33862,0.70016,0.87405,1.73219,0.007393,0.007393,0.007393
81,164574,0.33171,0.69954,0.87378,1.73414,0.00736,0.00736,0.00736
82,166651,0.32205,0.69989,0.87423,1.73972,0.007327,0.007327,0.007327
83,168716,0.33282,0.69972,0.87334,1.75678,0.007294,0.007294,0.007294
84,170792,0.33285,0.70007,0.8737,1.74939,0.007261,0.007261,0.007261
85,172880,0.32361,0.69936,0.87405,1.75172,0.007228,0.007228,0.007228
86,174917,0.32002,0.70157,0.87414,1.76765,0.007195,0.007195,0.007195
87,176982,0.31477,0.70096,0.87423,1.76548,0.007162,0.007162,0.007162
88,179089,0.31815,0.70113,0.87449,1.77224,0.007129,0.007129,0.007129
89,181283,0.30836,0.70255,0.87396,1.77625,0.007096,0.007096,0.007096
90,183423,0.33045,0.70246,0.87431,1.78319,0.007063,0.007063,0.007063
91,185587,0.30306,0.70131,0.87431,1.77844,0.00703,0.00703,0.00703
92,187689,0.321,0.70042,0.8744,1.77785,0.006997,0.006997,0.006997
93,189852,0.31302,0.70034,0.8744,1.78795,0.006964,0.006964,0.006964
94,191987,0.307,0.70034,0.87476,1.79303,0.006931,0.006931,0.006931
95,194131,0.29826,0.69954,0.8744,1.79638,0.006898,0.006898,0.006898
96,196288,0.30869,0.69981,0.87396,1.79693,0.006865,0.006865,0.006865
97,198331,0.30272,0.69972,0.87396,1.80069,0.006832,0.006832,0.006832
98,200607,0.30414,0.69857,0.87458,1.79622,0.006799,0.006799,0.006799
99,202742,0.29827,0.69777,0.87485,1.79702,0.006766,0.006766,0.006766
100,205058,0.29917,0.69812,0.87476,1.80999,0.006733,0.006733,0.006733
101,207402,0.29032,0.69751,0.87431,1.81035,0.0067,0.0067,0.0067
102,209721,0.2913,0.69724,0.8744,1.80552,0.006667,0.006667,0.006667
103,212013,0.28851,0.69644,0.87458,1.81032,0.006634,0.006634,0.006634
104,214433,0.29073,0.69662,0.87467,1.81761,0.006601,0.006601,0.006601
105,216736,0.28268,0.69662,0.87396,1.81805,0.006568,0.006568,0.006568
106,218948,0.28492,0.69644,0.87405,1.82453,0.006535,0.006535,0.006535
107,221241,0.28713,0.69627,0.87511,1.81827,0.006502,0.006502,0.006502
108,223468,0.28713,0.69521,0.87502,1.82328,0.006469,0.006469,0.006469
109,225863,0.27785,0.69618,0.87485,1.8316,0.006436,0.006436,0.006436
110,227830,0.27006,0.69662,0.87405,1.82674,0.006403,0.006403,0.006403
111,229847,0.27373,0.69768,0.87316,1.8436,0.00637,0.00637,0.00637
112,231924,0.27768,0.69768,0.87263,1.83706,0.006337,0.006337,0.006337
113,233960,0.27121,0.69759,0.87343,1.84258,0.006304,0.006304,0.006304
114,236092,0.27459,0.69698,0.8729,1.84328,0.006271,0.006271,0.006271
115,238172,0.27628,0.69812,0.87378,1.84638,0.006238,0.006238,0.006238
116,240197,0.27372,0.6991,0.87361,1.84749,0.006205,0.006205,0.006205
117,242268,0.27154,0.69883,0.87325,1.85941,0.006172,0.006172,0.006172
118,244362,0.26665,0.69848,0.87334,1.86033,0.006139,0.006139,0.006139
119,246639,0.26734,0.69848,0.87281,1.86556,0.006106,0.006106,0.006106
120,248717,0.27122,0.69839,0.87281,1.87502,0.006073,0.006073,0.006073
121,250746,0.26507,0.69821,0.8737,1.87631,0.00604,0.00604,0.00604
122,252895,0.26986,0.69848,0.87343,1.87666,0.006007,0.006007,0.006007
123,255029,0.26444,0.69848,0.87334,1.87997,0.005974,0.005974,0.005974
124,257178,0.2578,0.69892,0.8729,1.8873,0.005941,0.005941,0.005941
125,259275,0.25295,0.69874,0.87325,1.88767,0.005908,0.005908,0.005908
