epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/custom_cls_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),top1_acc,top5_acc,f1_score,val/box_loss,val/cls_loss,val/dfl_loss,val/custom_cls_loss,lr/pg0,lr/pg1,lr/pg2
32,14783.6,1.5462,1.64508,1.28057,3.19775,0.36682,0.34938,0.3036,0.16576,0.11502,0.58158,0.08951,1.46184,1.5384,1.29227,3.25366,0.006931,0.006931,0.006931
33,15722.9,1.54639,1.64233,1.27684,3.19966,0.36576,0.34863,0.3039,0.16608,0.11496,0.58293,0.09054,1.46067,1.53707,1.29039,3.24238,0.006832,0.006832,0.006832
34,16511,1.53005,1.62339,1.26767,3.20735,0.36744,0.34986,0.30506,0.16668,0.11502,0.58427,0.09484,1.46001,1.53674,1.28901,3.23787,0.006733,0.006733,0.006733
35,17666,1.53158,1.62954,1.26877,3.18025,0.37057,0.34984,0.30596,0.16713,0.11517,0.58566,0.09965,1.45891,1.5361,1.28703,3.23656,0.006634,0.006634,0.006634
36,18934,1.5274,1.62737,1.2649,3.20993,0.37068,0.35094,0.30665,0.16742,0.11538,0.58708,0.10243,1.45763,1.53485,1.28514,3.23733,0.006535,0.006535,0.006535
37,20244.7,1.52713,1.61754,1.26094,3.14947,0.37017,0.35149,0.30723,0.16772,0.11556,0.58855,0.10366,1.45649,1.5343,1.28347,3.24383,0.006436,0.006436,0.006436
38,21162.7,1.52913,1.61119,1.25227,3.15819,0.37354,0.35085,0.30783,0.16804,0.11575,0.59002,0.11087,1.45554,1.53361,1.28161,3.24675,0.006337,0.006337,0.006337
39,22332.4,1.51417,1.60264,1.25061,3.10867,0.37308,0.35304,0.30864,0.16842,0.116,0.59147,0.11184,1.45469,1.53301,1.28008,3.24541,0.006238,0.006238,0.006238
40,23413,1.51536,1.6037,1.24827,3.08909,0.37268,0.35245,0.30862,0.16866,0.11628,0.59288,0.11538,1.45362,1.53236,1.27837,3.24092,0.006139,0.006139,0.006139
41,24442.6,1.50563,1.60061,1.24406,3.14132,0.37361,0.35291,0.30954,0.16907,0.1166,0.59418,0.11668,1.45253,1.53218,1.27645,3.24167,0.00604,0.00604,0.00604
42,25280.3,1.51507,1.6025,1.24463,3.0711,0.37135,0.35352,0.31031,0.1694,0.11686,0.59539,0.12145,1.45193,1.53123,1.27483,3.24313,0.005941,0.005941,0.005941
43,26531.2,1.51083,1.58962,1.24268,3.00184,0.37288,0.35412,0.3108,0.16981,0.11708,0.5965,0.12306,1.45104,1.53105,1.273,3.24222,0.005842,0.005842,0.005842
44,27698.3,1.5085,1.59366,1.23854,3.01692,0.37111,0.35325,0.31097,0.17,0.11731,0.59756,0.12544,1.44996,1.53048,1.27112,3.24509,0.005743,0.005743,0.005743
45,28652.7,1.50363,1.58049,1.23492,3.04699,0.37603,0.3538,0.31181,0.17038,0.11753,0.59853,0.12503,1.44933,1.52965,1.26925,3.24872,0.005644,0.005644,0.005644
46,29783.5,1.50386,1.58749,1.22888,3.01601,0.37398,0.3571,0.31226,0.17084,0.11777,0.59944,0.12929,1.44856,1.52923,1.26721,3.25198,0.005545,0.005545,0.005545
47,31167.7,1.49941,1.5888,1.23072,2.94393,0.37209,0.35685,0.31238,0.1711,0.11802,0.60028,0.12983,1.44777,1.52874,1.26534,3.25465,0.005446,0.005446,0.005446
