epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/classify_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),top1_acc,top5_acc,f1_score,val/box_loss,val/cls_loss,val/dfl_loss,val/classify_loss,lr/pg0,lr/pg1,lr/pg2
32,23255.7,1.42238,1.40441,1.18444,1.4718,0.43581,0.40171,0.37322,0.21139,0.44068,0.91858,0.09821,1.39431,1.4077,1.22674,1.58467,0.008977,0.008977,0.008977
33,23988.2,1.41909,1.39866,1.17995,1.46566,0.43246,0.40538,0.37435,0.21167,0.43918,0.91879,0.09826,1.3934,1.40613,1.22468,1.58476,0.008944,0.008944,0.008944
34,24704.4,1.41468,1.38734,1.17956,1.45935,0.43487,0.40102,0.37488,0.21211,0.44164,0.91955,0.10002,1.393,1.40471,1.22324,1.58154,0.008911,0.008911,0.008911
35,25420.4,1.41245,1.37902,1.17627,1.45686,0.43969,0.402,0.37578,0.21247,0.44304,0.91976,0.10027,1.39163,1.40349,1.22143,1.57931,0.008878,0.008878,0.008878
36,26149,1.40759,1.37597,1.17051,1.4469,0.43489,0.40685,0.37645,0.21314,0.44379,0.91955,0.09956,1.39022,1.40268,1.21962,1.57679,0.008845,0.008845,0.008845
37,26890.2,1.40607,1.36978,1.16725,1.43535,0.44149,0.40247,0.37755,0.21347,0.44711,0.91987,0.10226,1.38949,1.40157,1.21796,1.5724,0.008812,0.008812,0.008812
38,27616.7,1.40583,1.3605,1.16714,1.43507,0.43889,0.40592,0.37782,0.21392,0.44829,0.91965,0.10311,1.38937,1.40029,1.21707,1.57227,0.008779,0.008779,0.008779
39,28350,1.40134,1.35202,1.16538,1.43257,0.43569,0.4067,0.37794,0.21449,0.44787,0.91944,0.10266,1.38884,1.39887,1.21567,1.57277,0.008746,0.008746,0.008746
40,29079.9,1.39558,1.34277,1.16367,1.4148,0.43691,0.40701,0.37851,0.21475,0.44669,0.91976,0.10319,1.38812,1.39794,1.21439,1.57409,0.008713,0.008713,0.008713
41,29812.8,1.39521,1.33901,1.15995,1.4159,0.43565,0.40777,0.3792,0.21501,0.44593,0.91965,0.10213,1.3877,1.39726,1.21293,1.57437,0.00868,0.00868,0.00868
42,30541.8,1.39075,1.32585,1.15537,1.41012,0.43545,0.40786,0.37888,0.21541,0.44647,0.91944,0.10388,1.38735,1.39609,1.21182,1.57404,0.008647,0.008647,0.008647
43,31259.8,1.39233,1.32008,1.15253,1.40006,0.44081,0.40483,0.37933,0.2156,0.44701,0.91965,0.10354,1.3871,1.3949,1.21064,1.57283,0.008614,0.008614,0.008614
44,31986.5,1.391,1.31546,1.15258,1.40114,0.43633,0.40667,0.37989,0.21625,0.44669,0.91976,0.10347,1.3872,1.39375,1.20933,1.57279,0.008581,0.008581,0.008581
