epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/classify_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),top1_acc,top5_acc,f1_score,val/box_loss,val/cls_loss,val/dfl_loss,val/classify_loss,lr/pg0,lr/pg1,lr/pg2
32,20162.3,1.52843,1.60073,1.30828,1.56317,0.39488,0.33766,0.30971,0.16977,0.39412,0.91247,0.05732,1.44783,1.49104,1.32475,1.63749,0.008977,0.008977,0.008977
33,20782.8,1.52803,1.59656,1.30868,1.56096,0.39504,0.33993,0.3103,0.16991,0.39702,0.91354,0.06019,1.44701,1.48911,1.32356,1.63107,0.008944,0.008944,0.008944
34,21410.2,1.52453,1.59058,1.30511,1.558,0.39116,0.34341,0.31119,0.17056,0.39734,0.9145,0.06059,1.44564,1.48798,1.32203,1.62934,0.008911,0.008911,0.008911
35,22030,1.52013,1.58201,1.30433,1.5541,0.39188,0.34366,0.31145,0.17086,0.39745,0.9145,0.05994,1.44452,1.48588,1.32109,1.62901,0.008878,0.008878,0.008878
36,22659.2,1.51589,1.57833,1.30037,1.54963,0.39752,0.34237,0.31218,0.17133,0.39702,0.91483,0.06041,1.44389,1.48452,1.32013,1.62809,0.008845,0.008845,0.008845
37,23276.7,1.5156,1.57466,1.29777,1.54335,0.40009,0.34142,0.31313,0.17157,0.3982,0.91504,0.06244,1.44289,1.48336,1.31911,1.62488,0.008812,0.008812,0.008812
38,23901.3,1.51542,1.56879,1.29797,1.54621,0.40439,0.34105,0.31395,0.17221,0.39884,0.91493,0.06293,1.44247,1.4816,1.31844,1.62289,0.008779,0.008779,0.008779
39,24527.5,1.51048,1.56776,1.29326,1.54276,0.39841,0.34113,0.3134,0.17249,0.39831,0.91525,0.06139,1.44151,1.48032,1.31738,1.62277,0.008746,0.008746,0.008746
40,25151.2,1.50409,1.55856,1.28939,1.53623,0.39336,0.34452,0.3139,0.17264,0.39702,0.91525,0.06077,1.4402,1.47983,1.31591,1.6231,0.008713,0.008713,0.008713
41,25772.8,1.50785,1.55933,1.29199,1.53731,0.39078,0.34736,0.31402,0.17291,0.3967,0.91525,0.06052,1.43904,1.47846,1.31468,1.62449,0.00868,0.00868,0.00868
42,26402.9,1.49948,1.54781,1.28255,1.53286,0.38953,0.34667,0.31425,0.17315,0.39605,0.91504,0.05975,1.43813,1.47702,1.3138,1.62559,0.008647,0.008647,0.008647
43,27024.6,1.501,1.5478,1.28377,1.52677,0.39052,0.34779,0.3151,0.17341,0.39584,0.91472,0.05993,1.43702,1.47619,1.31301,1.62528,0.008614,0.008614,0.008614
44,27650.9,1.50425,1.55275,1.28517,1.52818,0.38771,0.34985,0.31617,0.17385,0.39573,0.91461,0.05985,1.43655,1.47473,1.31212,1.62485,0.008581,0.008581,0.008581
45,28272.8,1.49874,1.54482,1.27978,1.52364,0.38408,0.35249,0.3165,0.1742,0.39573,0.91461,0.05978,1.43593,1.47385,1.31133,1.62501,0.008548,0.008548,0.008548
46,28898.1,1.49099,1.53919,1.27749,1.52397,0.38394,0.35402,0.31735,0.17488,0.39584,0.9144,0.05959,1.43543,1.47272,1.3104,1.62513,0.008515,0.008515,0.008515
47,29521.2,1.49512,1.54348,1.27552,1.52037,0.38892,0.35277,0.31868,0.17533,0.39541,0.91418,0.05687,1.43435,1.47178,1.30915,1.62503,0.008482,0.008482,0.008482
48,30144.4,1.49314,1.53548,1.27365,1.51813,0.38994,0.35291,0.31926,0.17568,0.39552,0.9144,0.05695,1.43374,1.47063,1.30816,1.62396,0.008449,0.008449,0.008449
49,30767.4,1.49162,1.5367,1.26999,1.52305,0.39026,0.35473,0.3203,0.17595,0.39648,0.91461,0.0577,1.43326,1.47,1.30734,1.62189,0.008416,0.008416,0.008416
50,31392.6,1.48644,1.53214,1.26626,1.51329,0.39283,0.35552,0.32131,0.17647,0.3967,0.9144,0.05793,1.43241,1.46939,1.30603,1.62154,0.008383,0.008383,0.008383
51,32018.5,1.48785,1.52919,1.26451,1.51621,0.39368,0.3547,0.32173,0.17687,0.39702,0.91483,0.05825,1.43184,1.46853,1.30515,1.62021,0.00835,0.00835,0.00835
