epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,42336.9,1.47876,1.52342,1.13876,0.39,0.37154,0.3374,0.18958,1.25269,2.09464,1.00522,0.008614,0.008614,0.008614
44,43429.7,1.47222,1.50967,1.13707,0.38916,0.37543,0.33776,0.18995,1.25244,2.10189,1.00492,0.008581,0.008581,0.008581
45,44492.1,1.47327,1.50471,1.13757,0.39499,0.37192,0.33859,0.19063,1.25201,2.12807,1.00478,0.008548,0.008548,0.008548
46,45515.2,1.47307,1.5031,1.13519,0.39743,0.37164,0.33968,0.19132,1.25129,2.14198,1.00442,0.008515,0.008515,0.008515
47,46582.2,1.47214,1.49901,1.13647,0.39814,0.373,0.34024,0.19165,1.25088,2.16699,1.00425,0.008482,0.008482,0.008482
48,47681.1,1.46673,1.49683,1.13294,0.39824,0.3728,0.34197,0.19255,1.25032,2.16669,1.00396,0.008449,0.008449,0.008449
49,48750.8,1.4708,1.49686,1.13411,0.39902,0.37236,0.34181,0.19288,1.25031,2.17984,1.00381,0.008416,0.008416,0.008416
50,49801.7,1.46816,1.48774,1.13376,0.39747,0.37531,0.34343,0.19354,1.24983,2.20304,1.00373,0.008383,0.008383,0.008383
51,50824.1,1.46436,1.48545,1.13249,0.39663,0.37671,0.34323,0.19406,1.24945,2.19435,1.0036,0.00835,0.00835,0.00835
52,51829.9,1.46704,1.48769,1.13209,0.39911,0.37676,0.34485,0.19486,1.24925,2.20172,1.00338,0.008317,0.008317,0.008317
53,52849.5,1.46768,1.48184,1.13112,0.39854,0.37759,0.34516,0.19529,1.24908,2.22152,1.00312,0.008284,0.008284,0.008284
54,53877.5,1.45981,1.47195,1.12846,0.39724,0.38056,0.34611,0.19585,1.24953,2.23389,1.00302,0.008251,0.008251,0.008251
55,54893.7,1.45808,1.46982,1.13017,0.39777,0.38067,0.3474,0.19638,1.24927,2.22822,1.00285,0.008218,0.008218,0.008218
56,55910.1,1.4617,1.47135,1.13004,0.40131,0.38202,0.34895,0.19696,1.24882,2.25317,1.00268,0.008185,0.008185,0.008185
57,56926.9,1.45899,1.46534,1.12933,0.40062,0.38353,0.34931,0.19745,1.24859,2.27138,1.00269,0.008152,0.008152,0.008152
58,57973,1.45876,1.46151,1.12817,0.40027,0.38322,0.34972,0.19787,1.24849,2.30212,1.0025,0.008119,0.008119,0.008119
59,58998.4,1.45349,1.45344,1.12669,0.40101,0.38508,0.35074,0.19846,1.24806,2.29964,1.00246,0.008086,0.008086,0.008086
60,60034,1.45205,1.45533,1.12647,0.40045,0.38578,0.35093,0.1989,1.24796,2.2767,1.00221,0.008053,0.008053,0.008053
61,61115.4,1.45593,1.45524,1.12632,0.40191,0.38557,0.35147,0.19924,1.24803,2.24217,1.00219,0.00802,0.00802,0.00802
62,62210.2,1.45359,1.44827,1.12767,0.40529,0.38426,0.35179,0.19962,1.24823,2.20448,1.00217,0.007987,0.007987,0.007987
63,63264.8,1.45384,1.44635,1.12531,0.40206,0.39083,0.35274,0.20011,1.24825,2.21788,1.0019,0.007954,0.007954,0.007954
64,64308.3,1.44718,1.44327,1.12362,0.40614,0.38997,0.35313,0.20055,1.248,2.218,1.00176,0.007921,0.007921,0.007921
65,65363,1.45217,1.43985,1.12578,0.41067,0.39,0.35449,0.20111,1.24792,2.20942,1.00174,0.007888,0.007888,0.007888
66,66395.3,1.45055,1.43259,1.12264,0.41076,0.39001,0.3551,0.2014,1.24778,2.20811,1.00163,0.007855,0.007855,0.007855
67,67491.4,1.44617,1.42656,1.12319,0.41146,0.39149,0.35612,0.20208,1.24817,2.17962,1.00182,0.007822,0.007822,0.007822
68,68539.4,1.4486,1.42781,1.12478,0.41315,0.39018,0.35669,0.20231,1.24746,2.14821,1.00125,0.007789,0.007789,0.007789
69,69627,1.44735,1.42841,1.12544,0.41141,0.39141,0.3573,0.20266,1.2478,2.13903,1.00136,0.007756,0.007756,0.007756
70,70713.5,1.44765,1.4199,1.1235,0.41569,0.38778,0.35816,0.20324,1.24821,2.13196,1.00142,0.007723,0.007723,0.007723
71,71770.1,1.44161,1.4131,1.12083,0.4127,0.39175,0.35881,0.204,1.24848,2.11542,1.00134,0.00769,0.00769,0.00769
72,72785.8,1.44332,1.41657,1.12082,0.41702,0.38974,0.35944,0.20447,1.24934,2.09391,1.00142,0.007657,0.007657,0.007657
73,73822,1.44401,1.41427,1.12248,0.41584,0.3906,0.36023,0.20481,1.24982,2.07206,1.00172,0.007624,0.007624,0.007624
74,74899.5,1.44161,1.41082,1.11925,0.42396,0.38969,0.36146,0.20543,1.25064,2.06382,1.00197,0.007591,0.007591,0.007591
75,75995.5,1.44134,1.40992,1.12128,0.42545,0.38921,0.36206,0.20566,1.25089,2.04114,1.00183,0.007558,0.007558,0.007558
76,77036,1.43846,1.40396,1.11882,0.42285,0.39231,0.3626,0.20597,1.251,2.02233,1.00184,0.007525,0.007525,0.007525
77,78088.2,1.43871,1.39646,1.1175,0.42714,0.389,0.36333,0.20627,1.25146,1.99936,1.00178,0.007492,0.007492,0.007492
78,79150.1,1.44027,1.39356,1.11734,0.42845,0.38961,0.36434,0.20682,1.25193,1.97507,1.00189,0.007459,0.007459,0.007459
79,80214.3,1.43751,1.39618,1.11794,0.42701,0.39229,0.36542,0.20738,1.25284,1.98137,1.002,0.007426,0.007426,0.007426
80,81318.4,1.43931,1.3908,1.11693,0.42575,0.39306,0.36563,0.20784,1.25279,1.97783,1.00196,0.007393,0.007393,0.007393
81,82412.4,1.43492,1.39055,1.11509,0.42502,0.39378,0.3657,0.20826,1.25252,1.98727,1.00176,0.00736,0.00736,0.00736
82,83458.9,1.42971,1.37882,1.1115,0.42597,0.39455,0.36645,0.20895,1.25262,1.98013,1.00167,0.007327,0.007327,0.007327
83,84503.4,1.43125,1.37815,1.11654,0.42711,0.39361,0.36718,0.20925,1.25249,1.97794,1.0016,0.007294,0.007294,0.007294
84,85578.8,1.42476,1.3816,1.11327,0.42998,0.39363,0.36836,0.20972,1.25299,1.98142,1.00176,0.007261,0.007261,0.007261
85,86664.6,1.42897,1.37675,1.11235,0.42591,0.39855,0.36854,0.2101,1.25287,1.97883,1.00187,0.007228,0.007228,0.007228
