epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,43365.6,1.47926,1.5376,1.14054,0.50608,0.19399,0.18108,0.11293,1.25156,1.93214,1.00777,0.008614,0.008614,0.008614
44,44432.7,1.47337,1.52555,1.13806,0.51353,0.19117,0.18098,0.11349,1.25089,1.95431,1.00751,0.008581,0.008581,0.008581
45,45503.3,1.4719,1.51955,1.13815,0.52254,0.19039,0.18177,0.11384,1.25098,1.98007,1.00733,0.008548,0.008548,0.008548
46,46600.4,1.47371,1.5179,1.1383,0.52516,0.19205,0.1823,0.11449,1.25091,1.9912,1.00716,0.008515,0.008515,0.008515
47,47661.9,1.47152,1.51703,1.1362,0.52927,0.1895,0.18246,0.11496,1.25092,1.9959,1.00697,0.008482,0.008482,0.008482
48,48712,1.46987,1.50949,1.13525,0.53481,0.18927,0.18768,0.11974,1.25115,2.00268,1.00677,0.008449,0.008449,0.008449
49,49731.3,1.47372,1.51286,1.13626,0.54126,0.18929,0.18907,0.12063,1.25091,1.99286,1.00655,0.008416,0.008416,0.008416
50,50744.5,1.47015,1.50462,1.13622,0.54248,0.1897,0.19233,0.12358,1.2503,1.98477,1.00615,0.008383,0.008383,0.008383
51,51802.1,1.46548,1.49958,1.13452,0.54813,0.18933,0.19336,0.12436,1.24999,1.99296,1.00602,0.00835,0.00835,0.00835
52,52822.8,1.47043,1.50157,1.13516,0.55592,0.18862,0.19149,0.12214,1.24911,2.0126,1.00568,0.008317,0.008317,0.008317
53,53839.2,1.46845,1.49599,1.13375,0.56536,0.18547,0.19551,0.12597,1.24902,2.0297,1.00559,0.008284,0.008284,0.008284
54,54875.9,1.46215,1.49014,1.13112,0.57986,0.18399,0.19677,0.12675,1.24839,2.04742,1.00514,0.008251,0.008251,0.008251
55,55920.3,1.45823,1.48419,1.13298,0.58655,0.18212,0.19766,0.12741,1.24796,2.02652,1.00489,0.008218,0.008218,0.008218
56,56958.9,1.46555,1.47963,1.13377,0.58614,0.18522,0.19917,0.12797,1.2482,2.02801,1.00497,0.008185,0.008185,0.008185
57,58028.3,1.46133,1.47775,1.13088,0.58608,0.18556,0.1997,0.12859,1.24765,2.04534,1.00461,0.008152,0.008152,0.008152
58,59109.9,1.45847,1.47365,1.13029,0.5847,0.18538,0.20072,0.12921,1.24754,2.04744,1.00441,0.008119,0.008119,0.008119
59,60211.3,1.4529,1.46637,1.12918,0.58322,0.18639,0.20197,0.12984,1.24754,2.06179,1.00418,0.008086,0.008086,0.008086
60,61258.2,1.45313,1.4694,1.12956,0.58315,0.18617,0.20228,0.13076,1.24746,2.08152,1.00418,0.008053,0.008053,0.008053
61,62302.1,1.45709,1.46675,1.12766,0.58291,0.18687,0.20678,0.13498,1.24702,2.10125,1.0036,0.00802,0.00802,0.00802
62,63356.4,1.45198,1.46038,1.12822,0.57703,0.18699,0.20681,0.13555,1.24728,2.12261,1.00363,0.007987,0.007987,0.007987
63,64389,1.45526,1.45537,1.12738,0.60225,0.18609,0.2073,0.13581,1.24734,2.11917,1.00362,0.007954,0.007954,0.007954
64,65486.3,1.45058,1.454,1.12621,0.59862,0.18778,0.20768,0.13622,1.24707,2.11405,1.00347,0.007921,0.007921,0.007921
65,66536.3,1.45111,1.45379,1.12585,0.59531,0.18878,0.20919,0.13646,1.24707,2.10427,1.00337,0.007888,0.007888,0.007888
66,67620.3,1.4483,1.44445,1.12449,0.59685,0.18818,0.20913,0.13681,1.24711,2.09532,1.0033,0.007855,0.007855,0.007855
67,68707.3,1.44814,1.43482,1.12541,0.59093,0.18879,0.20877,0.13663,1.24684,2.07753,1.00302,0.007822,0.007822,0.007822
68,69776.9,1.44941,1.4446,1.12807,0.58792,0.19189,0.20909,0.13653,1.247,2.06679,1.00327,0.007789,0.007789,0.007789
69,70790,1.44818,1.43891,1.12707,0.58733,0.19122,0.20879,0.13616,1.24724,2.06985,1.00343,0.007756,0.007756,0.007756
70,71818.8,1.44843,1.43126,1.12566,0.5824,0.19381,0.20976,0.13649,1.24779,2.0732,1.00374,0.007723,0.007723,0.007723
71,72881.2,1.44371,1.42133,1.12286,0.58621,0.19279,0.21007,0.13702,1.2477,2.0925,1.0038,0.00769,0.00769,0.00769
72,73976.4,1.44485,1.42722,1.12471,0.58622,0.19442,0.21127,0.13753,1.24761,2.0756,1.00378,0.007657,0.007657,0.007657
