epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/classify_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),top1_acc,top5_acc,f1_score,val/box_loss,val/cls_loss,val/dfl_loss,val/classify_loss,lr/pg0,lr/pg1,lr/pg2
32,20163.9,1.52895,1.59752,1.30239,2.07139,0.38228,0.34707,0.30824,0.16921,0.17464,0.85314,0.13826,1.44673,1.49041,1.31445,2.00784,0.008977,0.008977,0.008977
33,20783.8,1.53041,1.59399,1.30335,2.0731,0.37867,0.35021,0.3096,0.16957,0.174,0.85271,0.13919,1.44635,1.48886,1.31324,2.00607,0.008944,0.008944,0.008944
34,21412.5,1.52571,1.58895,1.29908,2.05503,0.37956,0.35063,0.31034,0.17039,0.17357,0.84864,0.13993,1.44607,1.48771,1.31228,2.00856,0.008911,0.008911,0.008911
35,22034,1.52112,1.58187,1.29759,2.04738,0.38253,0.34991,0.31023,0.17069,0.17443,0.84649,0.14143,1.44526,1.48594,1.31144,2.00752,0.008878,0.008878,0.008878
36,22656.1,1.51735,1.58158,1.29288,2.03427,0.3838,0.34989,0.31136,0.17121,0.17507,0.84885,0.14109,1.44467,1.4854,1.31064,2.00835,0.008845,0.008845,0.008845
37,23278.9,1.51761,1.57539,1.29401,2.0157,0.3842,0.35059,0.31211,0.1719,0.17614,0.84703,0.14247,1.44384,1.48429,1.30986,2.0088,0.008812,0.008812,0.008812
38,23901.3,1.51504,1.5728,1.29204,2.01944,0.38688,0.35077,0.3128,0.17251,0.17614,0.84735,0.14326,1.443,1.4833,1.3091,2.00685,0.008779,0.008779,0.008779
39,24526.1,1.51132,1.56666,1.28674,2.0175,0.38984,0.34933,0.3136,0.17294,0.17614,0.84671,0.14475,1.4426,1.48271,1.30826,2.00697,0.008746,0.008746,0.008746
40,25152.6,1.50541,1.55761,1.28534,1.99498,0.38891,0.35018,0.31482,0.17355,0.17604,0.84832,0.1452,1.44184,1.48174,1.30743,2.0054,0.008713,0.008713,0.008713
41,25772,1.50981,1.55764,1.28521,2.00294,0.3925,0.34895,0.31531,0.17378,0.17636,0.84928,0.14365,1.44161,1.48075,1.30658,2.0057,0.00868,0.00868,0.00868
42,26404.3,1.49938,1.54862,1.27899,1.98171,0.39479,0.3498,0.31582,0.17414,0.17786,0.84992,0.14468,1.44071,1.47996,1.30561,2.00555,0.008647,0.008647,0.008647
43,27024.3,1.50175,1.5457,1.27937,1.97388,0.39879,0.34748,0.31629,0.17428,0.17829,0.84832,0.14499,1.43953,1.47905,1.30464,2.00622,0.008614,0.008614,0.008614
44,27649.9,1.50272,1.5478,1.27724,1.97619,0.39708,0.34737,0.31716,0.17472,0.18065,0.8481,0.14703,1.43876,1.478,1.30369,2.00656,0.008581,0.008581,0.008581
45,28273.5,1.50186,1.54403,1.27723,1.97058,0.3973,0.34772,0.31742,0.17483,0.18108,0.84864,0.14713,1.43834,1.47685,1.30295,2.00811,0.008548,0.008548,0.008548
46,28897.3,1.49233,1.54066,1.27169,1.9644,0.39377,0.34924,0.31753,0.17515,0.18312,0.8496,0.14876,1.43769,1.47578,1.30191,2.00827,0.008515,0.008515,0.008515
47,29520.8,1.49641,1.5413,1.27121,1.94463,0.39687,0.34952,0.31853,0.17586,0.18344,0.85186,0.1487,1.43723,1.47443,1.30093,2.00837,0.008482,0.008482,0.008482
48,30146.2,1.49514,1.53604,1.27013,1.946,0.39719,0.35049,0.31881,0.17594,0.18365,0.85003,0.14845,1.43677,1.47308,1.30007,2.00852,0.008449,0.008449,0.008449
49,30771.3,1.49288,1.53551,1.2675,1.96293,0.39879,0.35074,0.31925,0.17654,0.18183,0.84992,0.14751,1.43656,1.4719,1.29933,2.01006,0.008416,0.008416,0.008416
50,31394.4,1.48962,1.53147,1.26414,1.93998,0.39716,0.35109,0.32005,0.17671,0.18247,0.84896,0.14793,1.43605,1.47093,1.29846,2.01244,0.008383,0.008383,0.008383
51,32019.2,1.48938,1.53068,1.26263,1.92834,0.40217,0.34972,0.3203,0.1771,0.1829,0.8481,0.14842,1.43569,1.46952,1.29761,2.01308,0.00835,0.00835,0.00835
52,32644.5,1.48953,1.53227,1.26089,1.93358,0.40489,0.35072,0.32132,0.17749,0.18387,0.84714,0.15035,1.43496,1.46838,1.29656,2.01489,0.008317,0.008317,0.008317
53,33268.3,1.49106,1.52843,1.25801,1.9042,0.40409,0.35026,0.32161,0.17792,0.18333,0.84563,0.15036,1.43436,1.46776,1.29541,2.01462,0.008284,0.008284,0.008284
54,33897.9,1.48942,1.52582,1.25553,1.90043,0.40201,0.35126,0.32249,0.17818,0.18397,0.84767,0.15121,1.4335,1.46688,1.29419,2.01236,0.008251,0.008251,0.008251
55,34521.5,1.4873,1.51535,1.25633,1.90881,0.40265,0.35049,0.32326,0.1785,0.18333,0.84649,0.15063,1.43302,1.46593,1.29318,2.01228,0.008218,0.008218,0.008218
56,35150.6,1.48542,1.51476,1.25193,1.90452,0.40207,0.3513,0.32358,0.17883,0.18183,0.84724,0.15006,1.43255,1.46548,1.29218,2.01434,0.008185,0.008185,0.008185
57,35770.8,1.48259,1.51247,1.24918,1.89765,0.40531,0.34968,0.32454,0.17929,0.18118,0.84767,0.15031,1.43194,1.46494,1.29106,2.01597,0.008152,0.008152,0.008152
58,36401.9,1.48325,1.50891,1.24866,1.88961,0.40562,0.35004,0.32523,0.17994,0.17861,0.84917,0.14913,1.43151,1.46464,1.2898,2.01457,0.008119,0.008119,0.008119
59,37026.4,1.4823,1.5083,1.24414,1.88086,0.40484,0.35233,0.32592,0.18029,0.17775,0.84874,0.14877,1.43076,1.46435,1.28839,2.01314,0.008086,0.008086,0.008086
60,37649.1,1.479,1.50821,1.2442,1.88299,0.40578,0.35239,0.3268,0.18048,0.17775,0.84778,0.1497,1.43008,1.46421,1.28708,2.01429,0.008053,0.008053,0.008053
61,38280.3,1.47715,1.50128,1.24207,1.86235,0.40405,0.35307,0.32721,0.18069,0.177,0.84864,0.14956,1.42984,1.46405,1.2861,2.01502,0.00802,0.00802,0.00802
62,38899.5,1.47373,1.49547,1.24061,1.87009,0.40437,0.35293,0.32801,0.18089,0.17775,0.84864,0.15002,1.42946,1.46362,1.28504,2.01294,0.007987,0.007987,0.007987
63,39522.3,1.47791,1.49393,1.23782,1.85553,0.4044,0.35388,0.3284,0.18107,0.17775,0.84864,0.15049,1.42935,1.46342,1.28411,2.01378,0.007954,0.007954,0.007954
64,40145.2,1.47404,1.49423,1.23728,1.86669,0.40533,0.35356,0.32882,0.18156,0.17797,0.85025,0.15092,1.42868,1.4634,1.2829,2.01651,0.007921,0.007921,0.007921
65,40776.4,1.47136,1.4884,1.23134,1.85629,0.41021,0.35222,0.33028,0.18202,0.17915,0.84896,0.15178,1.42814,1.46299,1.28174,2.01723,0.007888,0.007888,0.007888
66,41395.5,1.46973,1.4856,1.23244,1.85837,0.41112,0.35287,0.33067,0.18252,0.18054,0.84885,0.15224,1.42725,1.46264,1.28029,2.019,0.007855,0.007855,0.007855
67,42022.4,1.47,1.48593,1.23103,1.8347,0.41308,0.35395,0.33177,0.18322,0.18108,0.85046,0.15321,1.42664,1.4625,1.2788,2.01803,0.007822,0.007822,0.007822
68,42643.6,1.47133,1.48652,1.2275,1.81369,0.41208,0.35424,0.33262,0.18371,0.18076,0.85228,0.15362,1.42588,1.4625,1.27723,2.02059,0.007789,0.007789,0.007789
69,43269.7,1.46609,1.47786,1.22535,1.81717,0.41621,0.35252,0.33307,0.18384,0.18183,0.85368,0.15473,1.42523,1.46244,1.27562,2.02202,0.007756,0.007756,0.007756
70,43889.4,1.46705,1.46981,1.2256,1.82059,0.41423,0.3536,0.33325,0.1841,0.1814,0.8525,0.15481,1.42471,1.46243,1.27442,2.02234,0.007723,0.007723,0.007723
71,44518.6,1.46572,1.46815,1.22541,1.81235,0.41228,0.35446,0.33343,0.18428,0.18236,0.84982,0.15572,1.42442,1.46199,1.27338,2.02259,0.00769,0.00769,0.00769
72,45139.6,1.46289,1.46243,1.22534,1.81144,0.41307,0.35445,0.3329,0.18438,0.1814,0.85068,0.1552,1.42449,1.46175,1.2726,2.02043,0.007657,0.007657,0.007657
73,45761.6,1.45771,1.45568,1.22255,1.79161,0.41178,0.35552,0.3335,0.18478,0.18129,0.84982,0.15512,1.4241,1.46142,1.27151,2.01781,0.007624,0.007624,0.007624
74,46387.3,1.45974,1.45642,1.22117,1.78992,0.41399,0.35634,0.33378,0.18506,0.18172,0.85325,0.1559,1.42336,1.46117,1.2701,2.01589,0.007591,0.007591,0.007591
75,47013,1.46041,1.44971,1.2219,1.79931,0.40972,0.35854,0.33502,0.18524,0.18161,0.85486,0.15627,1.42304,1.46066,1.26911,2.01576,0.007558,0.007558,0.007558
76,47632.3,1.45648,1.45025,1.21637,1.78592,0.40644,0.35949,0.33536,0.18547,0.18236,0.85518,0.15645,1.42283,1.45972,1.26797,2.01678,0.007525,0.007525,0.007525
77,48257.1,1.45362,1.45084,1.22006,1.76215,0.40709,0.36001,0.33506,0.18564,0.18408,0.85604,0.15835,1.42245,1.45904,1.26698,2.01567,0.007492,0.007492,0.007492
78,48881.1,1.45486,1.44399,1.21586,1.76626,0.40313,0.36335,0.33567,0.18606,0.1859,0.8599,0.15984,1.42189,1.45788,1.26569,2.01472,0.007459,0.007459,0.007459
79,49506.2,1.45349,1.4431,1.21244,1.77538,0.40374,0.36326,0.33662,0.18639,0.18741,0.8628,0.16125,1.42119,1.4572,1.26441,2.01291,0.007426,0.007426,0.007426
80,50130.5,1.45222,1.43567,1.21214,1.77227,0.40293,0.36595,0.33858,0.1869,0.18891,0.86215,0.16202,1.42128,1.45608,1.26354,2.01323,0.007393,0.007393,0.007393
81,50757.1,1.44844,1.42541,1.2124,1.73929,0.40346,0.36562,0.3387,0.18741,0.19127,0.86248,0.16368,1.42143,1.45513,1.26269,2.01019,0.00736,0.00736,0.00736
82,51379.9,1.44926,1.43111,1.20704,1.73506,0.40284,0.36843,0.33931,0.18793,0.19449,0.86569,0.16588,1.42125,1.45468,1.26152,2.00693,0.007327,0.007327,0.007327
83,52004.2,1.4462,1.42174,1.20869,1.73766,0.40334,0.36848,0.33924,0.18865,0.19749,0.86762,0.16815,1.4213,1.45366,1.26073,2.00381,0.007294,0.007294,0.007294
84,52627.3,1.44609,1.42006,1.20597,1.73322,0.40137,0.37078,0.34084,0.18933,0.20028,0.87074,0.17045,1.42072,1.45272,1.25939,2.00131,0.007261,0.007261,0.007261
85,53250,1.44429,1.41935,1.20695,1.7622,0.40275,0.37212,0.34201,0.18982,0.20028,0.86966,0.17042,1.41981,1.45181,1.25791,2.00052,0.007228,0.007228,0.007228
