epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/classify_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),top1_acc,top5_acc,f1_score,val/box_loss,val/cls_loss,val/dfl_loss,val/classify_loss,lr/pg0,lr/pg1,lr/pg2
32,23512.1,1.50932,1.55977,1.29249,1.52926,0.39564,0.351,0.32241,0.17613,0.48091,0.92673,0.12105,1.43934,1.46401,1.31246,1.53162,0.008977,0.008977,0.008977
33,24227.7,1.51274,1.56122,1.29516,1.52897,0.396,0.34907,0.32328,0.17661,0.48445,0.92802,0.12525,1.4378,1.46285,1.3107,1.52405,0.008944,0.008944,0.008944
34,24973.1,1.50752,1.55285,1.29035,1.52366,0.38831,0.35203,0.3221,0.17664,0.48745,0.92856,0.12621,1.43694,1.46228,1.30937,1.52055,0.008911,0.008911,0.008911
35,25700.6,1.50487,1.54257,1.28933,1.51936,0.38757,0.35545,0.32306,0.17732,0.48799,0.92931,0.12648,1.43612,1.46069,1.30807,1.5182,0.008878,0.008878,0.008878
36,26434.3,1.49913,1.54427,1.28173,1.51544,0.38724,0.35614,0.32412,0.17773,0.48723,0.92941,0.12653,1.43519,1.46001,1.30668,1.5161,0.008845,0.008845,0.008845
37,27165.9,1.49848,1.54079,1.28097,1.50872,0.38786,0.35625,0.32486,0.17815,0.48831,0.92963,0.12862,1.43451,1.45973,1.30548,1.51403,0.008812,0.008812,0.008812
38,27897.2,1.4959,1.53527,1.28153,1.51502,0.38801,0.35648,0.32499,0.17834,0.48541,0.92952,0.12668,1.43405,1.45902,1.30489,1.51437,0.008779,0.008779,0.008779
39,28630.8,1.49343,1.53356,1.27809,1.51115,0.39157,0.35659,0.32653,0.17902,0.4852,0.92952,0.12669,1.43343,1.45812,1.30423,1.51461,0.008746,0.008746,0.008746
40,29359.5,1.48821,1.52194,1.27268,1.50292,0.38895,0.35676,0.32635,0.1792,0.48477,0.93006,0.12708,1.4328,1.45703,1.30311,1.51403,0.008713,0.008713,0.008713
41,30087.5,1.49096,1.52522,1.27451,1.49799,0.38966,0.35865,0.32735,0.17977,0.48412,0.92995,0.12755,1.43234,1.45582,1.30228,1.51413,0.00868,0.00868,0.00868
42,30817.4,1.48208,1.51293,1.26835,1.49722,0.38728,0.36084,0.32817,0.18033,0.48402,0.93017,0.12728,1.43174,1.4546,1.30137,1.51407,0.008647,0.008647,0.008647
43,31542.3,1.48658,1.51213,1.26665,1.4927,0.38876,0.36218,0.32845,0.18042,0.4852,0.93027,0.12807,1.43119,1.45373,1.30048,1.51179,0.008614,0.008614,0.008614
44,32277.2,1.48682,1.51446,1.26552,1.48688,0.3886,0.36321,0.32916,0.1806,0.48412,0.93059,0.1283,1.43087,1.45289,1.29978,1.51078,0.008581,0.008581,0.008581
45,33008,1.48303,1.51227,1.26091,1.48894,0.38923,0.36263,0.32943,0.181,0.4838,0.93081,0.12847,1.43037,1.45246,1.299,1.51003,0.008548,0.008548,0.008548
46,33746.6,1.47793,1.50624,1.25604,1.48532,0.39051,0.36436,0.33035,0.18145,0.48434,0.93092,0.12875,1.4298,1.4514,1.29775,1.50874,0.008515,0.008515,0.008515
47,34467,1.48204,1.51034,1.25321,1.47996,0.39519,0.36333,0.33075,0.18191,0.48369,0.93102,0.12782,1.42905,1.45078,1.29646,1.50949,0.008482,0.008482,0.008482
48,35207.6,1.47873,1.50143,1.24997,1.47789,0.40019,0.36082,0.33129,0.18239,0.48262,0.93081,0.12893,1.42883,1.44999,1.29553,1.51089,0.008449,0.008449,0.008449
49,35943.5,1.47711,1.49754,1.25025,1.48537,0.40013,0.36319,0.33186,0.18282,0.48348,0.93038,0.1284,1.42869,1.44899,1.29445,1.50922,0.008416,0.008416,0.008416
50,36678.2,1.47163,1.49588,1.24319,1.47517,0.40234,0.3638,0.33226,0.18316,0.48595,0.93081,0.13075,1.4281,1.4485,1.29336,1.50647,0.008383,0.008383,0.008383
51,37407.9,1.47557,1.4894,1.24527,1.4716,0.399,0.36367,0.33353,0.18365,0.48605,0.93059,0.13212,1.42749,1.44736,1.2922,1.5046,0.00835,0.00835,0.00835
52,38156.6,1.47405,1.49487,1.24123,1.47152,0.39764,0.36402,0.33392,0.18386,0.48745,0.93038,0.13421,1.42701,1.44741,1.29087,1.50247,0.008317,0.008317,0.008317
53,38904.6,1.47334,1.48896,1.23993,1.46674,0.39946,0.36452,0.3346,0.18445,0.48788,0.93049,0.13398,1.42634,1.44677,1.28935,1.50054,0.008284,0.008284,0.008284
54,39655.9,1.47325,1.48552,1.23891,1.45746,0.39928,0.36635,0.33533,0.18497,0.48863,0.93038,0.13636,1.42593,1.44625,1.28819,1.49888,0.008251,0.008251,0.008251
55,40408,1.46672,1.47775,1.23429,1.4563,0.3981,0.36572,0.33592,0.18547,0.48895,0.93049,0.13561,1.42535,1.44566,1.28689,1.49797,0.008218,0.008218,0.008218
56,41169.2,1.46572,1.47248,1.23181,1.45597,0.39851,0.36756,0.33624,0.18584,0.48917,0.9307,0.13343,1.42522,1.44513,1.28579,1.49824,0.008185,0.008185,0.008185
57,41913.1,1.464,1.47195,1.23233,1.45232,0.39676,0.36987,0.33674,0.18618,0.48959,0.93049,0.13369,1.42456,1.44463,1.28441,1.49647,0.008152,0.008152,0.008152
58,42645.6,1.46402,1.46796,1.22928,1.44664,0.39599,0.36952,0.3371,0.18647,0.48992,0.93017,0.13429,1.42427,1.4439,1.283,1.49445,0.008119,0.008119,0.008119
59,43388.5,1.46555,1.46935,1.22607,1.44652,0.39686,0.37154,0.33778,0.18685,0.48959,0.93059,0.13518,1.42413,1.4434,1.2817,1.49368,0.008086,0.008086,0.008086
60,44126.1,1.45999,1.46146,1.22489,1.44298,0.39914,0.37118,0.33909,0.18777,0.48906,0.93038,0.13503,1.42329,1.44316,1.28015,1.49198,0.008053,0.008053,0.008053
61,44851.8,1.45868,1.45741,1.2223,1.44491,0.39763,0.37261,0.33935,0.18796,0.48841,0.93017,0.13408,1.42262,1.44344,1.27831,1.49148,0.00802,0.00802,0.00802
62,45591.1,1.45723,1.45129,1.22445,1.44251,0.3978,0.37325,0.3403,0.1883,0.48927,0.93038,0.13433,1.42197,1.44297,1.2769,1.49003,0.007987,0.007987,0.007987
63,46336.2,1.45915,1.4509,1.22174,1.43395,0.39976,0.37373,0.3411,0.18892,0.49035,0.93059,0.13469,1.4213,1.44251,1.27566,1.48811,0.007954,0.007954,0.007954
64,47066.9,1.45695,1.453,1.21958,1.43679,0.40004,0.37454,0.34175,0.18948,0.48992,0.93049,0.13394,1.42077,1.44223,1.27409,1.48858,0.007921,0.007921,0.007921
65,47786.4,1.45596,1.44281,1.21852,1.43024,0.40013,0.37665,0.34242,0.18984,0.48906,0.93059,0.13303,1.42046,1.44156,1.27295,1.48823,0.007888,0.007888,0.007888
66,48512.2,1.45183,1.44153,1.21583,1.4292,0.40349,0.3757,0.34274,0.18989,0.48917,0.9307,0.13298,1.42036,1.44108,1.27177,1.48829,0.007855,0.007855,0.007855
67,49236.5,1.45649,1.44332,1.21665,1.42836,0.4042,0.37478,0.34347,0.19046,0.49045,0.93081,0.13567,1.4201,1.44075,1.27076,1.48642,0.007822,0.007822,0.007822
68,49957.8,1.45478,1.43573,1.21393,1.41703,0.40212,0.37698,0.34447,0.19118,0.49013,0.93102,0.13452,1.41993,1.44053,1.26945,1.48708,0.007789,0.007789,0.007789
69,50674,1.45233,1.43255,1.21071,1.41243,0.40459,0.37605,0.34571,0.19177,0.48863,0.93113,0.13115,1.41981,1.44022,1.26825,1.48717,0.007756,0.007756,0.007756
70,51393.7,1.45025,1.42463,1.21016,1.4127,0.4106,0.37625,0.34635,0.19221,0.48809,0.93102,0.13083,1.41948,1.43959,1.26695,1.48595,0.007723,0.007723,0.007723
71,52115.4,1.45002,1.42322,1.21064,1.40342,0.40914,0.37705,0.34667,0.19245,0.48874,0.93059,0.13198,1.41947,1.43859,1.26586,1.48519,0.00769,0.00769,0.00769
72,52836.6,1.44394,1.41952,1.20992,1.40356,0.41164,0.37858,0.34764,0.1929,0.48981,0.93017,0.13237,1.41913,1.43848,1.26471,1.48379,0.007657,0.007657,0.007657
73,53558.1,1.43955,1.41208,1.20514,1.40563,0.41297,0.37504,0.34828,0.19337,0.48981,0.93006,0.13284,1.41893,1.43815,1.26361,1.48286,0.007624,0.007624,0.007624
74,54278.9,1.44119,1.40889,1.20391,1.39392,0.41452,0.37385,0.349,0.19379,0.48799,0.93006,0.13076,1.41868,1.43768,1.26222,1.48311,0.007591,0.007591,0.007591
75,54999.6,1.44199,1.40461,1.20479,1.40136,0.41317,0.3738,0.34908,0.19431,0.48906,0.92995,0.1321,1.41856,1.43693,1.26118,1.48276,0.007558,0.007558,0.007558
76,55720.4,1.43786,1.40729,1.19893,1.38994,0.41622,0.37375,0.35005,0.19449,0.48959,0.93017,0.13532,1.41844,1.4362,1.25979,1.48183,0.007525,0.007525,0.007525
77,56431.3,1.44083,1.40557,1.20378,1.38836,0.41568,0.37537,0.35061,0.19492,0.48777,0.93017,0.13191,1.41834,1.43584,1.25863,1.48362,0.007492,0.007492,0.007492
78,57156.6,1.43672,1.39864,1.20105,1.38452,0.41515,0.37517,0.35093,0.19569,0.48777,0.93006,0.13177,1.41835,1.43491,1.25767,1.48274,0.007459,0.007459,0.007459
79,57875.9,1.43531,1.39353,1.19527,1.38551,0.41665,0.37496,0.351,0.19613,0.48906,0.92974,0.13445,1.4182,1.43423,1.25634,1.48175,0.007426,0.007426,0.007426
80,58588.9,1.43338,1.38873,1.19469,1.37697,0.41552,0.37674,0.35173,0.19656,0.48788,0.93049,0.13413,1.4177,1.43357,1.25457,1.48106,0.007393,0.007393,0.007393
81,59317.1,1.4312,1.37948,1.19731,1.36867,0.41556,0.37842,0.35246,0.19705,0.48723,0.93038,0.13314,1.41677,1.43265,1.25291,1.48199,0.00736,0.00736,0.00736
82,60037.4,1.43098,1.38311,1.19303,1.37317,0.41486,0.38071,0.35315,0.19708,0.4867,0.93017,0.13435,1.41636,1.43139,1.25152,1.48243,0.007327,0.007327,0.007327
83,60757.4,1.43166,1.37832,1.19335,1.36802,0.41467,0.3797,0.35292,0.19765,0.48691,0.92931,0.13481,1.41581,1.4303,1.25043,1.48314,0.007294,0.007294,0.007294
84,61478.4,1.42792,1.37548,1.19313,1.3632,0.41167,0.38157,0.35324,0.19782,0.48734,0.92952,0.13607,1.41534,1.42926,1.24926,1.48369,0.007261,0.007261,0.007261
85,62207.9,1.43065,1.37437,1.19292,1.36178,0.41293,0.38089,0.35408,0.19824,0.48713,0.92963,0.13646,1.41488,1.42853,1.24793,1.48322,0.007228,0.007228,0.007228
