epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/classify_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),top1_acc,top5_acc,f1_score,val/box_loss,val/cls_loss,val/dfl_loss,val/classify_loss,lr/pg0,lr/pg1,lr/pg2
1,1123.16,3.50748,5.08298,3.15252,2.38141,0.4613,0.08718,0.07949,0.03141,0.22334,0.68548,0.05281,2.33106,2.58298,2.06399,2.36927,0.00332731,0.00332731,0.00332731
2,2361.68,2.20501,2.60817,1.82931,2.33934,0.21003,0.06922,0.01561,0.00668,0.22635,0.42877,0.03403,2.36554,9.9491,1.99877,2.36783,0.00663866,0.00663866,0.00663866
3,3372.83,1.97869,2.23166,1.62701,2.31364,0.38288,0.12171,0.10267,0.04911,0.21723,0.44669,0.03646,2.03676,2.34285,1.73923,2.29213,0.00992801,0.00992801,0.00992801
4,4312.15,1.86572,2.07578,1.53711,2.31082,0.33569,0.11669,0.10221,0.04874,0.20972,0.67818,0.03667,2.06152,2.34338,1.71506,2.32471,0.009901,0.009901,0.009901
5,5436.88,1.78485,1.97346,1.48508,2.31055,0.2383,0.21552,0.18542,0.09512,0.09579,0.72538,0.04677,1.66373,1.81522,1.47309,2.28243,0.009868,0.009868,0.009868
6,6694.73,1.73198,1.88664,1.44004,2.30587,0.26781,0.2608,0.20431,0.10514,0.09815,0.60223,0.0723,1.66287,1.73667,1.47502,2.27202,0.009835,0.009835,0.009835
7,7645.89,1.69604,1.83935,1.42608,2.29919,0.2676,0.26395,0.20887,0.10895,0.0929,0.75467,0.0551,1.63218,1.71208,1.45197,2.28653,0.009802,0.009802,0.009802
8,8602.53,1.66819,1.79508,1.4044,2.29346,0.28437,0.26069,0.21224,0.11012,0.04817,0.84917,0.04698,1.59978,1.71743,1.42711,2.26482,0.009769,0.009769,0.009769
9,9449.67,1.64987,1.77014,1.39183,2.28583,0.3373,0.28476,0.23836,0.12622,0.16145,0.86419,0.08899,1.57603,1.64338,1.41535,2.23488,0.009736,0.009736,0.009736
10,10468.1,1.63592,1.74955,1.38113,2.29141,0.33266,0.29944,0.24848,0.13206,0.05471,0.7935,0.0715,1.54341,1.62654,1.39179,2.24133,0.009703,0.009703,0.009703
11,11592.2,1.62125,1.73169,1.37579,2.27845,0.32363,0.30292,0.25354,0.13464,0.15351,0.81613,0.11545,1.54138,1.60674,1.38844,2.18481,0.00967,0.00967,0.00967
12,12776.8,1.61029,1.709,1.3668,2.264,0.34078,0.30533,0.25728,0.13821,0.10609,0.76657,0.07877,1.53174,1.58943,1.37972,2.24623,0.009637,0.009637,0.009637
13,13770.2,1.59674,1.69621,1.35619,2.26961,0.34572,0.31026,0.26898,0.14487,0.13667,0.7685,0.09679,1.51651,1.57861,1.37037,2.17452,0.009604,0.009604,0.009604
14,14644.5,1.58761,1.68521,1.35177,2.27455,0.35704,0.3196,0.27744,0.14938,0.13238,0.85143,0.0873,1.49382,1.5632,1.35593,2.19195,0.009571,0.009571,0.009571
15,15608.4,1.57804,1.67174,1.34234,2.26344,0.361,0.32132,0.2829,0.15289,0.16424,0.83405,0.10977,1.49676,1.53833,1.3584,2.14255,0.009538,0.009538,0.009538
16,16630.3,1.57673,1.66365,1.33873,2.25803,0.37155,0.32045,0.28623,0.15431,0.14793,0.83158,0.1229,1.48085,1.53975,1.34293,2.16509,0.009505,0.009505,0.009505
17,17623.4,1.56956,1.65491,1.33577,2.25123,0.36446,0.33219,0.29523,0.1594,0.14793,0.8495,0.10693,1.47668,1.53396,1.34029,2.15308,0.009472,0.009472,0.009472
18,18656.9,1.5619,1.63809,1.33016,2.24922,0.38456,0.3302,0.29752,0.16135,0.14664,0.84756,0.10641,1.47837,1.51272,1.34128,2.13935,0.009439,0.009439,0.009439
19,19646.5,1.55491,1.63873,1.32854,2.237,0.37764,0.33492,0.30172,0.16512,0.15115,0.8437,0.10357,1.468,1.51164,1.33352,2.13946,0.009406,0.009406,0.009406
20,20656.5,1.55159,1.62809,1.32276,2.23067,0.36768,0.34055,0.30198,0.16513,0.13956,0.83501,0.10962,1.46687,1.50083,1.33277,2.11596,0.009373,0.009373,0.009373
21,21799.8,1.5518,1.61896,1.3199,2.21756,0.38333,0.33511,0.30766,0.16832,0.14332,0.82879,0.11964,1.4588,1.49662,1.3256,2.11247,0.00934,0.00934,0.00934
22,22823.4,1.54327,1.61415,1.31742,2.21579,0.38374,0.33283,0.3087,0.16903,0.16788,0.83984,0.12785,1.45621,1.49331,1.32354,2.14143,0.009307,0.009307,0.009307
23,24027.7,1.5367,1.60208,1.31011,2.22366,0.37953,0.34605,0.31304,0.17152,0.16713,0.82944,0.13036,1.45402,1.48744,1.32096,2.11556,0.009274,0.009274,0.009274
24,24906.8,1.53574,1.60626,1.30885,2.2034,0.38086,0.34528,0.31593,0.1744,0.17325,0.82922,0.12956,1.45081,1.4841,1.31886,2.11564,0.009241,0.009241,0.009241
25,26100.9,1.52841,1.58769,1.30488,2.19403,0.38976,0.34197,0.31639,0.17477,0.16263,0.8259,0.12845,1.4478,1.47866,1.31729,2.11193,0.009208,0.009208,0.009208
26,27191.6,1.53008,1.58681,1.3019,2.1912,0.38658,0.34669,0.31718,0.1751,0.15061,0.82997,0.12378,1.44561,1.47599,1.31448,2.10277,0.009175,0.009175,0.009175
27,28261.6,1.52172,1.57932,1.29747,2.19258,0.39429,0.34406,0.31932,0.17652,0.14932,0.83416,0.12494,1.44313,1.47373,1.31137,2.1042,0.009142,0.009142,0.009142
28,29466.9,1.51592,1.57833,1.29359,2.18252,0.38467,0.34652,0.31843,0.1765,0.14536,0.83394,0.12501,1.44267,1.47144,1.31063,2.10212,0.009109,0.009109,0.009109
29,30519.3,1.51115,1.57023,1.29225,2.17282,0.39047,0.34851,0.32083,0.1775,0.14739,0.83287,0.1266,1.44026,1.46935,1.30816,2.09485,0.009076,0.009076,0.009076
30,31638,1.51383,1.56463,1.28727,2.16469,0.39147,0.34603,0.32199,0.1783,0.14879,0.83641,0.12693,1.43956,1.4674,1.30685,2.09134,0.009043,0.009043,0.009043
31,32750.9,1.50948,1.56595,1.28658,2.15992,0.397,0.34597,0.32414,0.17948,0.14793,0.83802,0.12617,1.43843,1.46577,1.30522,2.08843,0.00901,0.00901,0.00901
32,33772.5,1.50887,1.55926,1.28533,2.15973,0.3979,0.34683,0.32518,0.18022,0.149,0.84124,0.12852,1.43741,1.46453,1.30409,2.08789,0.008977,0.008977,0.008977
33,35065.4,1.50825,1.55882,1.28563,2.15906,0.39243,0.34991,0.32596,0.18062,0.15222,0.8407,0.13003,1.43676,1.46278,1.30308,2.08547,0.008944,0.008944,0.008944
34,36164.6,1.50386,1.55406,1.28299,2.16149,0.39269,0.35157,0.32673,0.18096,0.15136,0.84048,0.12943,1.43596,1.46098,1.30219,2.08386,0.008911,0.008911,0.008911
35,37453.8,1.50125,1.54202,1.28124,2.14606,0.39888,0.35054,0.32747,0.1813,0.14975,0.84134,0.12731,1.43509,1.45942,1.30128,2.08417,0.008878,0.008878,0.008878
36,38537.7,1.49682,1.54443,1.27406,2.14747,0.3943,0.3525,0.3287,0.18189,0.15018,0.84263,0.12786,1.43384,1.4581,1.29967,2.08491,0.008845,0.008845,0.008845
37,40221.2,1.49641,1.53977,1.27332,2.14211,0.39675,0.35129,0.32982,0.18239,0.1534,0.8452,0.12996,1.43275,1.45753,1.29837,2.08548,0.008812,0.008812,0.008812
38,41009.7,1.49299,1.53707,1.27068,2.13365,0.39996,0.35095,0.33053,0.18265,0.15469,0.84703,0.12974,1.43184,1.45696,1.29693,2.08512,0.008779,0.008779,0.008779
39,41857.4,1.49367,1.53576,1.26981,2.1361,0.39605,0.35458,0.3313,0.1831,0.15404,0.84714,0.13055,1.43125,1.4563,1.29577,2.08666,0.008746,0.008746,0.008746
40,42641.8,1.4873,1.5273,1.26474,2.1226,0.39802,0.35381,0.33185,0.18333,0.15362,0.84606,0.13018,1.43091,1.45564,1.29472,2.08859,0.008713,0.008713,0.008713
41,43327.8,1.49115,1.52674,1.26556,2.12788,0.39474,0.35413,0.33143,0.18353,0.15458,0.84617,0.13052,1.43058,1.45474,1.29388,2.09004,0.00868,0.00868,0.00868
42,44080.1,1.48377,1.51609,1.25688,2.11869,0.39652,0.35533,0.33355,0.18395,0.15619,0.84842,0.13147,1.42999,1.45367,1.29278,2.09244,0.008647,0.008647,0.008647
43,44794.4,1.48602,1.51356,1.2537,2.09069,0.39687,0.35648,0.33397,0.18415,0.15984,0.84992,0.13338,1.42954,1.45287,1.29176,2.09586,0.008614,0.008614,0.008614
44,45570.2,1.48656,1.51908,1.2534,2.09821,0.39566,0.35719,0.33296,0.18407,0.16381,0.84992,0.13597,1.42874,1.45226,1.2905,2.09823,0.008581,0.008581,0.008581
45,46296.8,1.48647,1.51419,1.2527,2.09371,0.39871,0.35783,0.33499,0.1847,0.16584,0.8495,0.13577,1.42818,1.452,1.2896,2.10049,0.008548,0.008548,0.008548
46,47014.7,1.47832,1.50989,1.24821,2.08759,0.39701,0.3585,0.33578,0.18484,0.16917,0.85153,0.13552,1.42726,1.45148,1.28829,2.1014,0.008515,0.008515,0.008515
47,47752.7,1.48093,1.51273,1.24585,2.07639,0.3963,0.36043,0.33698,0.18553,0.17217,0.85228,0.13713,1.42668,1.45122,1.28723,2.10064,0.008482,0.008482,0.008482
48,48475.7,1.48012,1.503,1.24348,2.07796,0.39746,0.36025,0.33734,0.18594,0.174,0.85025,0.13726,1.42622,1.45029,1.28622,2.10187,0.008449,0.008449,0.008449
49,49181.9,1.47682,1.49488,1.24134,2.08479,0.39743,0.35954,0.3373,0.18601,0.17539,0.84982,0.13766,1.42571,1.44949,1.28497,2.10405,0.008416,0.008416,0.008416
50,49894.9,1.47343,1.4955,1.23952,2.06901,0.39924,0.35949,0.33815,0.18626,0.17711,0.85132,0.13806,1.42535,1.44896,1.28386,2.10582,0.008383,0.008383,0.008383
51,50644.2,1.47076,1.49402,1.235,2.05833,0.40146,0.35972,0.33836,0.18663,0.17818,0.85282,0.13863,1.42467,1.44815,1.28266,2.10663,0.00835,0.00835,0.00835
52,51400.1,1.47295,1.49432,1.23522,2.07432,0.40006,0.36122,0.33918,0.18696,0.1799,0.85314,0.14088,1.42423,1.44788,1.28118,2.10869,0.008317,0.008317,0.008317
53,52081.6,1.47329,1.49275,1.23258,2.05721,0.39884,0.3624,0.33973,0.18732,0.17915,0.85454,0.14142,1.42382,1.44718,1.27993,2.10972,0.008284,0.008284,0.008284
54,52731.6,1.47283,1.48496,1.23366,2.05861,0.39773,0.36316,0.33981,0.18755,0.1799,0.85507,0.14129,1.42344,1.44693,1.27876,2.1111,0.008251,0.008251,0.008251
55,53361.9,1.46811,1.48069,1.23012,2.03916,0.39918,0.36448,0.34007,0.18764,0.18204,0.85454,0.14262,1.42333,1.44623,1.27762,2.11131,0.008218,0.008218,0.008218
56,53991.7,1.46597,1.47449,1.22666,2.0442,0.40353,0.36253,0.3408,0.18803,0.18151,0.85604,0.14353,1.42265,1.44582,1.2762,2.11359,0.008185,0.008185,0.008185
57,54621.8,1.46661,1.47421,1.2288,2.04617,0.40193,0.36606,0.34124,0.18825,0.18043,0.85443,0.14295,1.42224,1.44536,1.27518,2.11494,0.008152,0.008152,0.008152
58,55251.8,1.46589,1.46959,1.22472,2.0428,0.40204,0.36544,0.34185,0.18862,0.17915,0.8554,0.14185,1.42185,1.44473,1.27389,2.11645,0.008119,0.008119,0.008119
59,55899.4,1.46492,1.46812,1.22119,2.03115,0.4064,0.36446,0.34268,0.18898,0.17722,0.8569,0.14094,1.42153,1.44375,1.2726,2.11748,0.008086,0.008086,0.008086
60,56532.8,1.46064,1.46637,1.22146,2.03596,0.40668,0.36413,0.34295,0.1893,0.17475,0.85818,0.14068,1.42101,1.44334,1.27129,2.11768,0.008053,0.008053,0.008053
